revenue_region_no,province,municipality,barangay,street_subdivision,vicinity,classification,zonal_value
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),D SAMONTE ST. - PRIMO LAZARO ST(P. BURGOS ST),RR,"7,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),PRIMO LAZARO ST(P BURGOS ST)- RIZAL ST,CR*,"8,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),D SAMONTE ST. - RIZAL ST,RR,"7,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),INTERIOR,RR,"5,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),D SAMONTE STREET,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - JP RIZAL ST,CR,"10,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),D SAMONTE STREET,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - JP RIZAL ST,RR,"8,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,P DE GUAM ST - F R CASTRO,RR,"8,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,P. DE GUAM ST. (AGBAYANI ST) -P. GUERRERO ST,RR,"8,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,"P GUERRERO ST,-DEAD END",RR,"6,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - P DE GUAM ST,RR,"8,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GEN LUNA ST.,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - DON PERFECTO GUERRERO ST(SORIANO ST),CR,"11,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GEN LUNA ST.,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - DON PERFECTO GUERRERO ST(SORIANO ST),RR,"9,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),J. P. RIZAL ST.,GOV. AGUEDO AGBAYANI ST(NOVALES ST). - AVILA ST,CR,"13,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),J. P. RIZAL ST.,GOV. AGUEDO AGBAYANI ST(NOVALES ST). - AVILA ST,RR,"9,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),J. P. RIZAL ST.,DONA LAURIANA CID ST(AVILA ST). - LAPAZ ROAD,RR,"6,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),LAKANDULA,PRIMO LAZARO ST(BURGOS ST)-J P RIZAL ST,RR,"5,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON FRANCISCO FONTANILLA ST. (LISTO ST.),PRIMO LAZARO ST(P BURGOS ST) - J P RIZAL ST,CR*,"8,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON FRANCISCO FONTANILLA ST. (LISTO ST.),PRIMO LAZARO ST(P BURGOS ST) - J P RIZAL ST,RR,"5,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOV. AGUEDO AGBAYANI ST. (NOVALES ST).,"LAOAG RIVER - ANASTACIA G, TUPAS ST(L JAENA ST)",RR,"6,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOV. AGUEDO AGBAYANI ST. (NOVALES ST).,"ANASTACIA G, TUPAS ST(L JAENA ST) - J P RIZAL ST",RR,"10,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOV. AGUEDO AGBAYANI ST. (NOVALES ST).,J P RIZAL ST PRIMO LAZARO ST(-P BURGOS ST),CR*,"12,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOV. AGUEDO AGBAYANI ST. (NOVALES ST).,J P RIZAL ST PRIMO LAZARO ST(-P BURGOS ST),RR,"10,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOV. AGUEDO AGBAYANI ST. (NOVALES ST).,LAZARO ST - D SAMONTE ST,RR,"10,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOV. AGUEDO AGBAYANI ST. (NOVALES ST).,D SAMONTE ST - P GOMBURZA ST(P. ZAMORA ST),RR,"10,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOV. AGUEDO AGBAYANI ST. (NOVALES ST).,"ANASTACIA G, TUPAS ST(L JAENA ST) - P GOMBURZA ST (P ZAMORA ST)",RR,"10,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),P. LAZARO ST. (P BURGOS ST.),GOV. AGUEDO AGBAYANI ST(NOVALES ST) - AVILA ST,RR,"10,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),P. LAZARO ST. (P BURGOS ST.),GOV. AGUEDO AGBAYANI ST(NOVALES ST)-J P RIZAL ST,RR,"7,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOMBURZA ST. (P ZAMORA ST.),GOV. AGUEDO AGBAYANI ST(NOVALES ST) - RIZAL ST,CR,"10,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOMBURZA ST. (P ZAMORA ST.),GOV. AGUEDO AGBAYANI ST(NOVALES ST) - RIZAL ST,RR,"8,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOMBURZA ST. (P ZAMORA ST.),RIZAL ST - GOMBURZA ST(P. ZAMORA ST),RR,"8,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GOMBURZA ST. (P ZAMORA ST.),RIZAL ST - DEAD END,RR,"5,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),MARIA R. CRUSES ST (ROXAS ST).,GOMBURZA ST(P. ZAMORA ST) - D SAMONTE ST,CR*,"9,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),MARIA R. CRUSES ST (ROXAS ST).,GOMBURZA ST(P. ZAMORA ST) - D SAMONTE ST,RR,"7,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),MARIA R. CRUSES ST (ROXAS ST).,D SAMONTE ST - PRIMO LAZARO ST(P BURGOS ST),RR,"7,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),MARIA R. CRUSES ST (ROXAS ST).,GOMBURZA ST(P. ZAMORA ST) - PRIMO LAZARO ST(P BURGOS ST),RR,"7,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON GALICANO RAFALES ST. (RUIZ ST.),D SAMONTE ST - PRIMO LAZARO ST(P BURGOS ST),RR,"7,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON GALICANO RAFALES ST. (RUIZ ST.),P LAZARO ST.-J P RIZAL ST,RR,"9,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON PERFECTO GUERRERO ST. (SORIANO ST.),D SAMONTE ST - PRIMO LAZARO ST( P BURGOS ST),RR,"7,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON PERFECTO GUERRERO ST. (SORIANO ST.),PRIMO LAZARO ST(P BURGOS ST) - GEN LUNA ST,RR,"7,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON PERFECTO GUERRERO ST. (SORIANO ST.),PRIMO LAZARO ST(BURGOS ST)-J.P. RIZALS T,RR,"9,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DON PERFECTO GUERRERO ST. (SORIANO ST.),D SAMONTE ST-J P RIZAL ST,RR,"9,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),LAZARO ST,GOV. AGUEDO AGBAYANI ST(NOVALES ST)-DONA LAURIANA CID ST(AVILA ST),RR,"9,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),TUPAZ ST,AGBAYANI ST.-DEAD END,RR,"7,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),A. CID ST.,D. SAMONTE ST- J.P RIZAL ST,CR,"12,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),A. CID ST.,D. SAMONTE ST- J.P RIZAL ST,RR,"9,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,RR,"7,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,APD,"8,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,GL,"7,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A1,"2,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A2,"2,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A50,"3,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,INTERIOR LOTS,RR,"4,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,INTERIOR LOTS,APD,"3,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,INTERIOR LOTS,GL*,"3,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,INTERIOR LOTS,A1*,"1,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,INTERIOR LOTS,A2*,"1,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),ALL OTHER STREETS,INTERIOR LOTS,A50*,"1,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GOV. DAVID FLOR ST. (AMBARISTO ST.),"J LUNA ST - ANASTACIA G, TUPAZ ST(L JAENA ST)",RR,"7,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GOV. DAVID FLOR ST. (AMBARISTO ST.),"ANASTACIA G, TUPAS ST(L JAENA ST) -D SAMONTE ST",CR*,"9,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GOV. DAVID FLOR ST. (AMBARISTO ST.),"ANASTACIA G, TUPAS ST(L JAENA ST) -D SAMONTE ST",RR,"8,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),A P SANTOS ST,LAOAG RIVER - J LUNA ST,RR,"7,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),A P SANTOS ST,"J LUNA ST - ANASTACIA G, TUPAS ST(L JAENA ST)",CR*,"9,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),A P SANTOS ST,"J LUNA ST - ANASTACIA G, TUPAS ST(L JAENA ST)",RR,"8,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),A P SANTOS ST,"ANASTACIA G, TUPAS ST(L JAENA ST) - P GOMES ST",RR,"10,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),A P SANTOS ST,"ANASTACIA G, TUPAS ST(L JAENA ST) - GOMBURZA ST",CR*,"13,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),A P SANTOS ST,"ANASTACIA G, TUPAS ST(L JAENA ST) - GOMBURZA ST",RR,"10,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),D SAMONTE ST,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),CR*,"12,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),D SAMONTE ST,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),RR,"10,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),F R CASTRO AVENUE,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),CR*,"12,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),F R CASTRO AVENUE,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),RR,"10,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),DON VICENTE GIRON ST. (G DEL PILAR ST),"J LUNA ST - ANASTACIA G, TUPAS ST(L JAENA ST)",CR*,"9,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),DON VICENTE GIRON ST. (G DEL PILAR ST),"J LUNA ST - ANASTACIA G, TUPAS ST(L JAENA ST)",RR,"7,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),DON VICENTE GIRON ST. (G DEL PILAR ST),"ANASTACIA G, TUPAS ST(L JAENA ST) - P GOMEZ ST",CR*,"10,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),DON VICENTE GIRON ST. (G DEL PILAR ST),"ANASTACIA G, TUPAS ST(L JAENA ST) - P GOMEZ ST",RR,"8,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GEN A LUNA ST,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),CR,"12,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GEN A LUNA ST,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),RR,"7,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),J LUNA ST,A P SANTOS ST - LAOAG RIVER,RR,"6,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),J P RIZAL ST,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),CR,"13,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),J P RIZAL ST,A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),RR,"11,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),A.G. TUPAS ST. (L JAENA ST),A P SANTOS ST - GOV. AGUEDO AGBAYANI ST(NOVALES ST),RR,"7,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GOV. AGUEDO AGBAYANI ST(NOVALES ST),"LAOAG RIVER - ANASTACIA G, TUPAZ ST(L JAENA ST)",RR,"6,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GOV. AGUEDO AGBAYANI ST(NOVALES ST),"ANASTACIA G, TUPAS ST(L JAENA ST) - M. REMIGIO ST(P. GOMEZ ST)",RR,"7,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),GOV. AGUEDO AGBAYANI ST(NOVALES ST),P GOMEZ - GOV. AGUEDO AGBAYANI ST(NOVALES ST)-DEAD END,RR,"7,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),P. LAZARO ST. (P BURGOS ST),A P SANTOS - GOV. AGUEDO AGBAYANI ST(NOVALES ST),CR*,"9,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),P. LAZARO ST. (P BURGOS ST),A P SANTOS - GOV. AGUEDO AGBAYANI ST(NOVALES ST),RR,"8,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 2 - SANTA JOAQUINA (POBLACION),M. REMIGIO ST. (P GOMEZ ST),A P SANTOS - GOV. AGUEDO AGBAYANI ST(NOVALES ST),CR,"12,900.00"
